"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"45","Zhang, SY Biotropica 1995","Zhang, SY","Fruit consumption and seed dispersal of Ziziphus cinamomum by two sypatric primates","Biotropica",1995,"http://www.jstor.org/stable/2388926?seq=1#page_scan_tab_contents","Brown capuchin monkeys (Cebus apella), black spider monkeys (Ateles paniscus)","Ziziphus cinnamomum","French Guiana","French Guiana","Mainland","New World","Mainland","no","yes","Ingestion had no effect on seed viability"
"46","Ladley, J. New Zealand Journal of Ecology 1996","Ladley, J.","DISPERSAL, GERMINATION AND SURVIVAL OF NEW ZEALAND MISTLETOES (LORANTHACEAE): DEPENDENCE ON BIRDS","New Zealand Journal of Ecology",1996,"http://www.jstor.org/stable/24053735?seq=1#page_scan_tab_contents","tui, bellbirds, silvereyes","Alepis flavida, Peraxilla colensoi, P. tetrapetala, Ileostylus micranthus and Tupeia antarctica","New Zealand","New Zealand","Island","Old World","Island","no","yes","Ingestion increased germination by removing pericarp"
"47","Willson, M. Revista Chilena de Historia Natural 1996","Willson, M.","Seed dispersal by lizards in Chilean rainforest","Revista Chilena de Historia Natural",1996,"https://www.researchgate.net/profile/Javier_Figueroa2/publication/264935093_Seed_dispersal_by_lizards_in_Chilean_rainforest/links/53f7a0630cf2c9c3309c8d3f.pdf","Lizards (Liolaemus pictus)","Nertera granadensis","South temperate Chile","Chile","Mainland","New World","Mainland","no","yes","Ingestion greatly improved germination"
"48","Figueiredo, R. Rev. Ecol. 1997","Figueiredo, R. ","Ecological aspects of the dispersal of a melastomataceae by marmosets and howler monkeys (Primates: Platyrrhini) in a semideciduous forest of Southeastern Brazil","Rev. Ecol. ",1997,"http://documents.irevues.inist.fr/bitstream/handle/2042/54852/RevuedEcologie_1997_52_1_3.pdf?sequence=1","Alouatta fusca fusca (lhering, 1914) (the Northem brown howler monkey), Callithrix penicillata (É. Geoffroy, 1812) (the Black-tufted-ear marmoset)","Miconia cinnamomifolia","Southeast Brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion by marmosets had not effect, but howler monkey ingestion decreased germinatioin"
"49","Horn, M. Oecologia 1997","Horn, M.","Evidence for dispersal of fig seeds by the fruit-eating characid fish Brycon guatemalensis Regan in a Costa Rican tropical rain forest","Oecologia",1997,"http://link.springer.com/article/10.1007/s004420050081","Brycon guatemalensis","Ficus glabrata ","Costa Rica","Costa Rica","Mainland","New World","Mainland","no","yes","Ingestion decreased germination, but didn't kill the seed when it came to possums. Other small mammals killed the seeds."
"50","Izhaki, I. Journal of Arid Environments 1997","Izhaki, I.","Hares (Lepus spp.) as seed dispersers of Retama raetam (Fabaceae) in a sandy landscape","Journal of Arid Environments",1997,"http://www.sciencedirect.com/science/article/pii/S0140196397902731","Lepus sp.","Retama reatam","Isreal","Isreal","Mainland","Old World","Mainland","no","yes","Ingestion decreased germination, but didn't kill the seed"
"51","Mandujanoa, M. Jouranl of Arid Environments 1997","Mandujanoa, M.","Dormancy and endozoochorous dispersal ofOpuntia rastreraseeds in the southern Chihuahuan Desert <U+2606>","Jouranl of Arid Environments",1997,"http://www.sciencedirect.com.proxy.lib.iastate.edu/science/article/pii/S0140196396902104","coyote, mule deer, woodrat, common pig, northern raven","Opuntia rastrera","Southwest U.S.","United States","Mainland","New World","Mainland","no","yes","All but one disperser (deer) decreased germination rates with respect to the control"
"52","McDiarmid, R. Biotropica 1977","McDiarmid, R.","Dispersal of Stemmadenia donnell-smithii (Apocynaceae) by Birds","Biotropica",1977,"http://www.jstor.org/stable/2387855?seq=1#page_scan_tab_contents","Yellow-green Vireo (Vireo flavovirid)","Stemmadenia donnell-smithii (Apocynaceae)","Guanacaste Province, Costa Ric","Costa Rica","Mainland","New World","Mainland","yes","yes","Ingestion removed aril and sped up germination"
"53","Janzen, D. Ecology 1981","Janzen, D.","Enterolobium cyclocarpum seed passage rate and survival in horses, Costa Rican Pleistocene seed dispersal agents","Ecology",1981,"http://www.jstor.org.proxy.lib.iastate.edu/stable/1937726?seq=1#page_scan_tab_contents","Horses","Enterolobium cyclocarpum","Costa Rica","Costa Rica","Mainland","New World","Mainland","yes","yes","Most seeds survived ingestion, supporting the idea that ancient horses helped move around the seeds"
"54","Janzen, D. Oikos 1982","Janzen, D.","Differential seed survival and passage rates in cows and horses, surrogate Pleistocene dispersal agents","Oikos",1982,"http://www.jstor.org/stable/3544014?seq=1#page_scan_tab_contents","Cattle, horses","Enterolobium cyclocarpum","Costa Rica","Costa Rica","Mainland","New World","Mainland","yes","yes","Cattle killed less ingested seeds then horses"
